data_path,label
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_17.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_18.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_19.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_2.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_20.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_21.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_22.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_23.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_24.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_25.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_26.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_27.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_28.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_29.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_3.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_30.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_31.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_32.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_33.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_34.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_35.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_36.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_37.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_38.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_39.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_4.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_40.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_41.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_42.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_43.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_44.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_45.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_46.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_47.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_48.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_49.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_5.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_50.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_51.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_52.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_53.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_54.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_55.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_56.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_57.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_58.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_59.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_6.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_60.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_61.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_62.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_63.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_64.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_65.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_66.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_67.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_68.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_69.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_7.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_70.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_71.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_72.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_73.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_74.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_75.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_76.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_77.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_78.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_79.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_8.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_80.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_81.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_82.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_83.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_84.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_85.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_86.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_87.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_88.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_89.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_9.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_90.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_91.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_92.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_93.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_94.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_95.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_96.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_97.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_98.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_99.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_1.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_10.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_100.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_101.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_102.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_103.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_104.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_105.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_106.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_107.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_108.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_109.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_11.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_110.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_111.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_112.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_113.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_114.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_115.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_116.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_117.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_118.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_119.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_12.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_120.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_121.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_122.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_123.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_124.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_125.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_126.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_127.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_128.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_129.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_13.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_130.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_131.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_14.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_15.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_16.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_17.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_18.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_19.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_2.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_20.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_21.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_22.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_23.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_24.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_25.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_26.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_27.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_28.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_29.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_3.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_30.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_31.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_32.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_33.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_34.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_35.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_36.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_37.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_38.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_39.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_4.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_40.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_41.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_42.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_43.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_44.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_45.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_46.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_47.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_48.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_49.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_5.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_50.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_51.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_52.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_53.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_54.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_55.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_56.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_57.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_58.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_59.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_6.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_60.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_61.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_62.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_63.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_64.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_65.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_66.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_67.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_68.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_69.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_7.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_70.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_71.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_72.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_73.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_74.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_75.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_76.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_77.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_78.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_79.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_8.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_80.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_81.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_82.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_83.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_84.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_85.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_86.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_87.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_88.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_89.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_9.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_90.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_91.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_92.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_93.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_94.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_95.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_96.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_97.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_98.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/love/love_99.json,love
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_1.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_10.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_100.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_101.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_102.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_103.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_104.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_105.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_106.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_107.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_108.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_109.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_11.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_110.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_111.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_112.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_113.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_114.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_115.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_116.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_117.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_118.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_119.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_12.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_120.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_121.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_122.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_123.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_124.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_125.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_126.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_127.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_128.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_129.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_13.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_130.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_131.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_132.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_133.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_134.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_135.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_136.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_137.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_138.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_139.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_14.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_140.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_141.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_142.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_143.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_144.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_145.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_146.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_147.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_148.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_149.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_15.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_150.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_151.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_152.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_153.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_154.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_155.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_156.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_157.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_16.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_17.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_18.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_19.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_2.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_20.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_21.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_22.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_23.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_24.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_25.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_26.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_27.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_28.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_29.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_3.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_30.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_31.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_32.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_33.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_34.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_35.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_36.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_37.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_38.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_39.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_4.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_40.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_41.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_42.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_43.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_44.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_45.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_46.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_47.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_48.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_49.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_5.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_50.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_51.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_52.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_53.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_54.json,ok
C:/Users/antarctic polar bear/Desktop/two_hand/train/ok/ok_55.json,ok
